Best for upgrades,Rare,Name,Skills,Aspect level,Aspect,Principles,Type,Additional,Source
No,No,Bisclavret's_Knot,"Coil & Chasm , Wolf Stories , Furs & Feathers , Horns & Ivories , Path & Pilgrim , Hill & Hollow , Pentiments & Precursors , Serpents & Venoms ",5,Scale,"1 Moth, 2 Scale","Mark, Thing",,Crafting
Yes,Yes,Savage_Hymn,"Drums & Dances , Stone Stories ",5,"Nectar, Scale","2 Scale, 2 Sky","Memory, Sound",,Crafting
No,No,Thirza's_Cordials,"Coil & Chasm , Herbs & Infusions , Orchids & Narcotics , Spices & Savours , Stone Stories ",5,Edge,"2 Moth, 2 Nectar","Beverage, Liquid, Restorative, Thing",,Crafting
Yes,Yes,Cheerful_Ditty,"Drums & Dances , Strings & Songs ",5,Heart,"1 Sky, 2 Heart","Memory, Sound",,Crafting
No,No,Regensburg_Balm,"Edicts Inviolable , Herbs & Infusions , Maggephene Mysteries , Quenchings & Quellings , Surgeries & Exsanguinations ",5,Heart,"2 Heart, 2 Nectar",Liquid,,Crafting
Yes,Yes,Old_Wound,Edicts Martial ,5,Moon,"1 Edge, 2 Moon, 3 Winter","Memory, Persistent",,Crafting
No,No,Midnight_Mark,"Desires & Dissolutions , Insects & Nectars , Rhyme & Remembrance , Serpents & Venoms , Sharps , Snow Stories , Wolf Stories ",5,Moon,"1 Moth, 2 Moon","Mark, Thing",,Crafting
No,No,Labhitic_Tincture,"Disciplines of the Hammer , Edicts Martial , Ragged Crossroads , Sickle & Eclipse ",5,Edge,"1 Lantern, 2 Edge","Material, Thing",,Crafting
No,No,Wescott's_Compounds,"Meniscate Reflections , Pyroglyphics , Spices & Savours , Sacra Limiae , Solutions & Separations ",5,"Forge, Moth","1 Grail, 1 Lantern, 1 Moth, 1 Nectar, 2 Forge","Material, Thing",,Crafting
No,Yes,Tanglebrag,Watchman's Paradoxes ,5,"Lantern, Moth","1 Lantern, 1 Nectar, 1 Scale, 2 Moth","Material, Thing",,Crafting
No,Yes,Paint:_Moth-Gold,Inks of Revelation ,5,Moth,2 Moth,"Liquid, Pigment, Thing",,Crafting
No,Yes,Salt-Sign,"Hill & Hollow , Sea Stories ",5,"Moon, Rose","2 Moon, 2 Rose","Mark, Thing","Beachcombing - Numa, The Gull Colony - Numa","Beachcombing, Crafting, The Gull-Colony"
No,Yes,Confounding_Parable,Tridesma Hiera ,5,"Moon, Rose, Sky","2 Moon, 2 Rose, 2 Sky",Memory,,Crafting
No,No,Bitterblack_Salts,"Anbary & Lapidary , Bells & Brazieries , Disciplines of the Hammer , Door & Wall , Transformations & Liberations ",5,Forge,1 Forge,"Material, Pigment",,Crafting
Yes,No,Yewgall_Ink,"Inks of Containment , Inks of Power , Inks of Revelation , Insects & Nectars , Leaves & Thorns , Rites of the Roots ",5,"Nectar, Winter",2 Nectar,"Ink, Liquid",,Crafting
No,Yes,Eigengrau,Auroral Contemplations ,5,"Lantern, Moon, Winter","1 Moon, 1 Winter","Beverage, Liquid",,Crafting
Yes,Yes,Bittersweet_Certainty,"Ouranoscopy , Ragged Crossroads ",5,"Moon, Winter","1 Lantern, 2 Winter",Memory,,Crafting
No,No,Stargall_Ink,"Inks of Containment , Inks of Power , Inks of Revelation ",5,Sky,2 Sky,"Ink, Liquid",,Crafting
Yes,No,Torgue's_Cleansing,"Auroral Contemplations , Disciplines of the Scar , Meniscate Reflections , Sharps ",5,"Edge, Sky",2 Edge,Memory,,Crafting
No,No,Wistful_Air,"Bells & Brazieries , Ouranoscopy , Sky Stories , Strings & Songs , Watchman's Paradoxes ",5,Sky,"2 Rose, 2 Sky","Memory, Sound",Beehive - Numa,"Beehive, Crafting"
No,No,Awakened_Feather,"Anbary & Lapidary , Furs & Feathers , Lockworks & Clockworks , Sacra Limiae , Sights & Sensations , Stitching & Binding ",5,Sky,"1 Scale, 2 Sky","Material, Remains",Any season,"Crafting, The Gull-Colony"
No,No,Refulgin,"Inks of Revelation , Purifications & Exaltations , Sacra Solis Invicti , Transformations & Liberations ",5,Lantern,2 Lantern,"Material, Pigment",,Crafting
Yes,No,Dearday_Lens,"Disciplines of the Scar , Glassblowing & Vesselcrafting , Glaziery & Lightsmithing , Pyroglyphics ",5,"Lantern, Sky","1 Edge, 1 Forge, 2 Lantern, 2 Sky","Device, Glass, Lens, Tool",,Crafting
No,No,Amethyst_Ampoule,"Glassblowing & Vesselcrafting , Lockworks & Clockworks , Solutions & Separations , Surgeries & Exsanguinations , The Great Signs and the Great Scars ",5,Knock,"2 Heart, 2 Knock","Glass, Liquid",,Crafting
Yes,No,Secret_Threshold,"Door & Wall , Edicts Liminal , Horns & Ivories , Preliminal Meter ",5,Knock,"1 Rose, 2 Knock",Memory,,Crafting
Yes,No,Beguiling_Melody,"Applebright Euphonies , Pentiments & Precursors , Resurgences & Emergences , Tridesma Hiera ",5,Grail,"2 Grail, 2 Sky","Memory, Sound",,Crafting
No,No,Witching_Tisane,"Desires & Dissolutions , Leaves & Thorns , Orchids & Narcotics , Sea Stories , The Great Signs and the Great Scars ",5,Grail,"1 Heart, 2 Grail","Beverage, Liquid",,Crafting
No,No,Catwink,"Inks of Containment , Sickle & Eclipse , Sand Stories , Putrefactions & Calcinations , Edicts Inviolable ",5,"Edge, Moon","2 Moon, 2 Scale","Ink, Liquid",,Crafting
No,Yes,Perhibiate,"Stitching & Binding , Weaving & Knotworking , Inks of Power ",5,"Heart, Scale","1 Winter, 2 Heart, 2 Lantern, 2 Scale","Ink, Liquid",,Crafting
Yes,Yes,Hive's_Lament,Drums & Dances ,10,Nectar,"2 Moth, 2 Winter, 4 Nectar","Evolve via Bosk, Memory, Persistent, Sound",(x1) Winter and Numa,"Beehive, Crafting"
Yes,No,Thunderskin's_Paean,"Drums & Dances , Strings & Songs ",10,Heart,"1 Grail, 1 Scale, 4 Heart","Evolve via Preservation, Memory, Sound",,Crafting
No,No,Frith-Weft,"Stitching & Binding , Weaving & Knotworking ",10,Heart,3 Heart,"Fabric, Thing",,Crafting
No,No,Gideon's_Soaks,"Edicts Inviolable , Herbs & Infusions , Maggephene Mysteries , Quenchings & Quellings , Surgeries & Exsanguinations ",10,Heart,"1 Grail, 2 Forge, 3 Nectar, 4 Heart","Liquid, Thing",,Crafting
No,No,Stymphling,"Rhyme & Remembrance , Sand Stories , Serpents & Venoms , Snow Stories , Tridesma Hiera ",10,Moon,"3 Moon, 3 Scale",Beast,,Crafting
No,Yes,Pyrus_Auricalcinus,Desires & Dissolutions ,10,"Moon, Nectar","4 Forge, 4 Nectar","Fruit, Sustenance",Numa,"Crafting, Practic Garden"
Yes,No,Wormwood_Dream (10),"Edicts Inviolable , Rhyme & Remembrance , Sickle & Eclipse , Snow Stories , Wolf Stories ",10,Moon,"2 Edge, 6 Moon, 6 Winter","Memory, Omen",,Crafting
Yes,Yes,Leathy,"Inks of Containment , Herbs & Infusions , Insects & Nectars , Orchids & Narcotics , Rites of the Roots ",10,"Moon, Nectar","2 Grail, 2 Nectar, 2 Scale, 4 Moth",Beverage,,Crafting
Yes,No,Winning_Move,"Auroral Contemplations , Disciplines of the Hammer , Meniscate Reflections , Ragged Crossroads , Sharps ",10,Edge,3 Edge,Memory,,Crafting
No,Yes,Perinculate,"Putrefactions & Calcinations , Disciplines of the Scar , Edicts Martial , Sickle & Eclipse , Inks of Power ",10,"Edge, Scale, Winter","4 Edge, 4 Scale","Ink, Liquid, Thing",,Crafting
No,No,Asimel,"Pearl & Tide , Putrefactions & Calcinations , Sea Stories , Ouranoscopy ",10,"Moon, Moth","3 Knock, 5 Moon","Ink, Liquid, Thing",Ink (Liquid?),Crafting
Yes,No,Nameday_Riddle,"Edicts Liminal , Rites of the Roots , Sacra Limiae , Solutions & Separations , Weaving & Knotworking ",10,Moth,"2 Knock, 2 Moth",Memory,,Crafting
Yes,No,Enduring_Reflection,"Path & Pilgrim , Pearl & Tide , Preliminal Meter , Sky Stories ",10,Rose,"1 Heart, 1 Knock, 3 Rose","Memory, Persistent",,Crafting
No,No,Ichor_Auroral,"Auroral Contemplations , Inks of Power , Sand Stories ",10,"Rose, Sky","2 Rose, 4 Lantern","Liquid, Pigment, Thing",,Crafting
No,No,Iotic_Essence (10),"Anbary & Lapidary , Meniscate Reflections , Pyroglyphics , Spices & Savours , Transformations & Liberations ",10,Forge,"3 Lantern, 5 Forge",Liquid,,Crafting
No,No,Essential_Periost,"Sharps , Sickle & Eclipse , Wolf Stories ",10,"Moon, Nectar, Winter","2 Moon, 4 Nectar, 4 Scale, 4 Winter","Remains, Thing",,Crafting
Yes,No,Solomon%E2%80%99s_Preparation,"Inks of Containment , Quenchings & Quellings , Ragged Crossroads , Sights & Sensations ",10,Winter,"1 Moon, 1 Moth, 4 Winter","Beverage, Liquid",,Crafting
No,Yes,Living_Relic,"Stitching & Binding , Furs & Feathers , Hill & Hollow , Pentiments & Precursors , Stone Stories ",10,"Scale, Winter","1 Heart, 2 Sky, 4 Scale",Beast,Numa,"Beachcombing, Crafting, The Sea-Caves"
No,No,Orichalcum_Wire,"Bells & Brazieries , Disciplines of the Hammer , Door & Wall ",10,"Forge, Knock, Sky","1 Lantern, 4 Forge","Material, Metal",,Crafting
No,No,Ichor_Vitreous,"Glassblowing & Vesselcrafting , Glaziery & Lightsmithing , Inks of Revelation , Sacra Solis Invicti , Watchman's Paradoxes ",10,"Lantern, Sky",4 Lantern,"Liquid, Pigment",,Crafting
Yes,No,Ascendant_Harmony,"Applebright Euphonies , Bells & Brazieries , Furs & Feathers , Purifications & Exaltations , Sky Stories , Strings & Songs ",10,Sky,"2 Lantern, 4 Sky","Memory, Persistent, Sound",,Crafting
Yes,No,Mazarine_Fife,"Ouranoscopy , Sacra Limiae , Sacra Solis Invicti ",10,Sky,3 Sky,"Instrument, Thing, Tool",,Crafting
Yes,Yes,Old_Moment,"Disciplines of the Scar , Horns & Ivories , Coil & Chasm , Path & Pilgrim , Wolf Stories ",10,"Lantern, Scale","2 Lantern, 2 Moth, 4 Scale",Memory,,Crafting
Yes,No,Xanthotic_Essence (10),"Auroral Contemplations , Purifications & Exaltations , Pyroglyphics , Transformations & Liberations ",10,Lantern,"2 Forge, 2 Knock, 5 Lantern","Liquid, Pigment",,Crafting
No,Yes,Chimeric_Larva,"Horns & Ivories , Insects & Nectars , Hill & Hollow , Resurgences & Emergences , Transformations & Liberations ",10,"Knock, Moon, Moth","2 Knock, 2 Moon, 4 Moth",Beast,,Crafting
Yes,Yes,Curious_Hunch,"Preliminal Meter , The Great Signs and the Great Scars ",10,Knock,"3 Heart, 3 Lantern, 3 Moth, 4 Knock","Memory, Omen",,Crafting
No,Yes,Gervinite,Lockworks & Clockworks ,10,"Knock, Sky","2 Rose, 4 Knock","Material, Metal",,Crafting
No,No,Glassfinger_Toxin,"Door & Wall , Edicts Liminal , Solutions & Separations , Surgeries & Exsanguinations ",10,"Knock, Scale","2 Forge, 2 Lantern, 4 Knock",Liquid,,Crafting
No,No,Pale_Mommet,"Pentiments & Precursors , Resurgences & Emergences , Sea Stories , The Great Signs and the Great Scars , Tridesma Hiera ",10,Grail,"2 Heart, 2 Moth, 4 Grail","Device, Thing, Tool",,Crafting
No,No,Rubywise_Ruin,"Applebright Euphonies , Desires & Dissolutions , Leaves & Thorns , Orchids & Narcotics ",10,Grail,"2 Heart, 2 Moth, 2 Nectar, 2 Rose, 4 Grail","Beverage, Liquid",,Crafting
Yes,No,Wormwood_Dream (15),"Edicts Inviolable , Rhyme & Remembrance , Sickle & Eclipse , Snow Stories , Wolf Stories ",15,Moon,"2 Edge, 6 Moon, 6 Winter","Memory, Omen",,Crafting
Yes,No,Xanthotic_Essence (15),"Auroral Contemplations , Purifications & Exaltations , Pyroglyphics , Transformations & Liberations ",15,Lantern,"2 Forge, 2 Knock, 5 Lantern","Liquid, Pigment",,Crafting
No,No,Iotic_Essence (15),"Anbary & Lapidary , Meniscate Reflections , Pyroglyphics , Spices & Savours , Transformations & Liberations ",15,Forge,"3 Lantern, 5 Forge",Liquid,,Crafting
No,Yes,Wyrd-Weft,"Stitching & Binding , Weaving & Knotworking ",15,Winter,"3 Heart, 6 Winter","Fabric, Thing",Fabric,Crafting
No,No,Houndsgall,"Horns & Ivories , Inks of Containment , Path & Pilgrim , Pentiments & Precursors ",15,Scale,"2 Heart, 5 Scale","Ink, Liquid, Thing",Living relic,Crafting
No,No,Sacrament_Malachite,"Coil & Chasm , Drums & Dances , Herbs & Infusions , Leaves & Thorns , Rites of the Roots , Spices & Savours , Stone Stories ",15,Edge,6 Nectar,"Beverage, Intoxicating, Liquid, Restorative, Thing","Pyrus_Auricalcinus Essential_Periost",Crafting
No,No,Marakat,"Inks of Power , Insects & Nectars , Tridesma Hiera ",15,Edge,"7 Grail, 7 Knock, 7 Nectar","Encaustum Terminale, Ink, Liquid, Thing",Leathy,Crafting
No,No,Swaddled_Thunder,"Quenchings & Quellings , Stitching & Binding , Weaving & Knotworking , Drums & Dances , Strings & Songs ",15,Heart,"4 Sky, 6 Heart","Fabric, Thing",,Crafting
No,Yes,January_Sanguinary,Surgeries & Exsanguinations ,15,"Heart, Knock","3 Knock, 3 Sky, 5 Heart",Liquid,,Crafting
Yes,Yes,Forbidden_Epic,Edicts Martial ,15,Moon,"4 Moon, 4 Rose, 6 Edge","Memory, Persistent",,Crafting
No,No,Black_Sapphire_Wash,"Desires & Dissolutions , Pearl & Tide , Putrefactions & Calcinations , Sea Stories , Tridesma Hiera ",15,Moon,6 Moon,"Liquid, Pigment, Thing",,Crafting
Yes,No,Serpent-Milk,"Disciplines of the Scar , Meniscate Reflections , Sharps , Sickle & Eclipse , Serpents & Venoms ",15,"Edge, Scale","2 Knock, 3 Scale, 6 Edge",Beverage,,Crafting
Yes,No,Invincible_Audacity,"Auroral Contemplations , Disciplines of the Hammer , Edicts Martial ",15,Edge,"3 Forge, 3 Lantern, 6 Edge","Memory, Persistent",,Crafting
Yes,Yes,Skinshuck_Mead,"Insects & Nectars , Edicts Liminal , Rites of the Roots , Sacra Limiae , Solutions & Separations , Resurgences & Emergences , Transformations & Liberations ",15,"Moon, Moth","2 Heart, 2 Nectar, 2 Scale, 6 Moth","Beverage, Liquid, Thing",,Crafting
No,Yes,Perilous_Imago,"Insects & Nectars , Resurgences & Emergences , Transformations & Liberations ",15,"Moon, Moth","2 Knock, 2 Moon, 2 Scale, 6 Moth",Beast,,Crafting
Yes,No,Horizon-Sight,"Path & Pilgrim , Preliminal Meter , Sand Stories , Sky Stories ",15,Rose,4 Rose,"Memory, Persistent",The Gull Colony - Numa,"Crafting, Sea's Edge, The Gull-Colony"
No,No,Orpiment_Exultant,"Anbary & Lapidary , Inks of Power , Transformations & Liberations ",15,Forge,"7 Forge, 7 Heart, 7 Sky","Encaustum Terminale, Ink, Liquid, Thing",,Crafting
No,No,Azoth,"Bells & Brazieries , Disciplines of the Hammer , Door & Wall , Meniscate Reflections , Purifications & Exaltations , Pyroglyphics , Spices & Savours ",15,Forge,"2 Forge, 6 Knock","Liquid, Thing",,Crafting
Yes,No,Nillycant,"Inks of Containment , Sights & Sensations , Ragged Crossroads ",15,Winter,"7 Edge, 7 Scale, 7 Winter","Encaustum Terminale, Ink, Liquid, Thing",,Crafting
No,Yes,Year_Tally,Ouranoscopy ,15,"Sky, Winter",6 Winter,"Mark, Thing",,Crafting
Yes,No,Wind-in-Waiting?so=search,"Furs & Feathers , Sacra Solis Invicti , Sky Stories , Strings & Songs ",15,Sky,"3 Grail, 3 Moth, 3 Scale, 6 Sky","Memory, Persistent",,Crafting
Yes,Yes,Didumos,"Ouranoscopy , Applebright Euphonies , Bells & Brazieries , Sacra Limiae , Sights & Sensations ",15,"Moon, Moth","3 Knock, 3 Lantern, 3 Winter, 6 Sky","Memory, Persistent",,Crafting
Yes,Yes,Porphyrine,"Auroral Contemplations , Inks of Power , Sand Stories , Inks of Revelation , Pearl & Tide ",15,"Heart, Lantern","7 Knock, 7 Moon, 7 Rose","Encaustum Terminale, Ink, Liquid, Thing",,Crafting
Yes,Yes,Earthquake-Name,"Disciplines of the Scar , Coil & Chasm , Hill & Hollow , Stone Stories , Wolf Stories ",15,"Lantern, Scale",6 Scale,"Memory, Omen, Persistent",,Crafting
No,No,Ashartine,"Glassblowing & Vesselcrafting , Glaziery & Lightsmithing , Pyroglyphics , Watchman's Paradoxes ",15,"Lantern, Sky","2 Sky, 6 Lantern","Ink, Liquid",,Crafting
No,No,Uzult,"Anbary & Lapidary , Glaziery & Lightsmithing , Inks of Revelation , Sacra Solis Invicti , Watchman's Paradoxes ",15,Lantern,"7 Lantern, 7 Moth, 7 Sky","Encaustum Terminale, Ink, Liquid",,Crafting
Yes,No,Sacrament_Ascite,"Door & Wall , Edicts Liminal , Glassblowing & Vesselcrafting , Horns & Ivories , Solutions & Separations ",15,"Knock, Moon",6 Knock,"Beverage, Liquid",,Crafting
Yes,No,Chronsichord,"Glassblowing & Vesselcrafting , Glaziery & Lightsmithing , Lockworks & Clockworks , Preliminal Meter , The Great Signs and the Great Scars ",15,"Knock, Sky","3 Forge, 3 Sky, 3 Winter, 6 Knock","Device, Tool",,Crafting
Yes,No,Flushed_Mommet,"Desires & Dissolutions , Furs & Feathers , Pentiments & Precursors , Resurgences & Emergences , The Great Signs and the Great Scars ",15,Grail,"3 Heart, 3 Moon, 6 Grail","Device, Tool",,Crafting
Yes,No,Sacrament_Calicite,"Applebright Euphonies , Leaves & Thorns , Orchids & Narcotics , Sea Stories , Tridesma Hiera ",15,Grail,6 Grail,"Beverage, Liquid",,Crafting